image,status,reason,candidate_count,cells_found,blur_score,brightness,contrast,rotation_angle,quality_warnings,debug_directory
data\sudoku_images\22.jpg,success,"Grid extraction, digit recognition and solving succeeded.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_125818
data\sudoku_images\22.jpg,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_144126
data\sudoku_images\20.jpg,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,338.34,170.27,31.52,24.99,grid has noticeable rotation,debug_runs\20260714_144322
data\sudoku_images\22.jpg,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_150606
data\sudoku_images\22.jpg,success,"Grid extraction, digit recognition and solving succeeded.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_152121
data\sudoku_images\26.png,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,3480.51,210.03,85.92,0.06,image is overexposed,debug_runs\20260714_152155
data\sudoku_images\26.png,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,3480.51,210.03,85.92,0.06,image is overexposed,debug_runs\20260714_152911
data\sudoku_images\26.png,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,3480.51,210.03,85.92,0.06,image is overexposed,debug_runs\20260714_160907
data\sudoku_images\22.jpg,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_161016
data\sudoku_images\22.jpg,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_161112
data\sudoku_images\22.jpg,success,"Grid extraction, digit recognition and solving succeeded.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_161206
data\sudoku_images\26.png,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,3480.51,210.03,85.92,0.06,image is overexposed,debug_runs\20260714_161256
data\sudoku_images\23.jpg,success,"Grid extraction, digit recognition and solving succeeded.",2,81,9.77,124.56,38.7,0.17,image appears blurry,debug_runs\20260714_161713
data\sudoku_images\24.jpg,solver_failed,"The 81 cells were extracted, but the predicted digits produced an invalid or unsolvable Sudoku. One or more digits were probably misclassified.",2,81,14.69,131.88,21.42,0.09,image appears blurry | image has low contrast,debug_runs\20260714_161805
data/sudoku_images/22.jpg,success,"Grid extraction, digit recognition and solving succeeded.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_163320
data/sudoku_images/22.jpg,success,"Grid extraction, digit recognition and solving succeeded.",2,81,298.65,157.82,31.58,-28.34,grid has noticeable rotation,debug_runs\20260714_164834
